experiment_sample_index,digit_label,original_mnist_test_index_0based,original_mnist_test_position_1based,digit_position_within_test_1based,mnist_split,mnist_image_shape,idx_image_byte_offset_uncompressed,idx_label_byte_offset_uncompressed,torchvision_lookup,source_run,predicted_class,inference_correct,mnist_images_file,mnist_labels_file,mnist_images_url,mnist_labels_url
40,5,45,46,4,test,28x28,35296,53,MNIST(train=False)[45],run_20260720_193925,5,true,t10k-images-idx3-ubyte,t10k-labels-idx1-ubyte,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-images-idx3-ubyte.gz,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-labels-idx1-ubyte.gz
41,1,46,47,9,test,28x28,36080,54,MNIST(train=False)[46],run_20260720_193925,1,true,t10k-images-idx3-ubyte,t10k-labels-idx1-ubyte,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-images-idx3-ubyte.gz,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-labels-idx1-ubyte.gz
42,2,47,48,5,test,28x28,36864,55,MNIST(train=False)[47],run_20260720_193925,2,true,t10k-images-idx3-ubyte,t10k-labels-idx1-ubyte,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-images-idx3-ubyte.gz,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-labels-idx1-ubyte.gz
43,4,48,49,8,test,28x28,37648,56,MNIST(train=False)[48],run_20260720_193925,4,true,t10k-images-idx3-ubyte,t10k-labels-idx1-ubyte,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-images-idx3-ubyte.gz,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-labels-idx1-ubyte.gz
44,4,49,50,9,test,28x28,38432,57,MNIST(train=False)[49],run_20260720_193925,4,true,t10k-images-idx3-ubyte,t10k-labels-idx1-ubyte,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-images-idx3-ubyte.gz,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-labels-idx1-ubyte.gz
45,6,50,51,4,test,28x28,39216,58,MNIST(train=False)[50],run_20260720_193925,6,true,t10k-images-idx3-ubyte,t10k-labels-idx1-ubyte,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-images-idx3-ubyte.gz,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-labels-idx1-ubyte.gz
46,3,51,52,5,test,28x28,40000,59,MNIST(train=False)[51],run_20260720_193925,3,true,t10k-images-idx3-ubyte,t10k-labels-idx1-ubyte,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-images-idx3-ubyte.gz,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-labels-idx1-ubyte.gz
47,5,52,53,5,test,28x28,40784,60,MNIST(train=False)[52],run_20260720_193925,5,true,t10k-images-idx3-ubyte,t10k-labels-idx1-ubyte,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-images-idx3-ubyte.gz,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-labels-idx1-ubyte.gz
48,5,53,54,6,test,28x28,41568,61,MNIST(train=False)[53],run_20260720_193925,5,true,t10k-images-idx3-ubyte,t10k-labels-idx1-ubyte,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-images-idx3-ubyte.gz,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-labels-idx1-ubyte.gz
49,6,54,55,5,test,28x28,42352,62,MNIST(train=False)[54],run_20260720_193925,6,true,t10k-images-idx3-ubyte,t10k-labels-idx1-ubyte,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-images-idx3-ubyte.gz,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-labels-idx1-ubyte.gz
50,0,55,56,6,test,28x28,43136,63,MNIST(train=False)[55],run_20260720_193925,0,true,t10k-images-idx3-ubyte,t10k-labels-idx1-ubyte,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-images-idx3-ubyte.gz,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-labels-idx1-ubyte.gz
51,4,56,57,10,test,28x28,43920,64,MNIST(train=False)[56],run_20260720_193925,4,true,t10k-images-idx3-ubyte,t10k-labels-idx1-ubyte,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-images-idx3-ubyte.gz,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-labels-idx1-ubyte.gz
52,1,57,58,10,test,28x28,44704,65,MNIST(train=False)[57],run_20260720_193925,3,false,t10k-images-idx3-ubyte,t10k-labels-idx1-ubyte,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-images-idx3-ubyte.gz,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-labels-idx1-ubyte.gz
53,5,59,60,7,test,28x28,46272,67,MNIST(train=False)[59],run_20260720_193925,5,true,t10k-images-idx3-ubyte,t10k-labels-idx1-ubyte,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-images-idx3-ubyte.gz,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-labels-idx1-ubyte.gz
54,7,60,61,7,test,28x28,47056,68,MNIST(train=False)[60],run_20260720_193925,7,true,t10k-images-idx3-ubyte,t10k-labels-idx1-ubyte,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-images-idx3-ubyte.gz,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-labels-idx1-ubyte.gz
55,3,63,64,6,test,28x28,49408,71,MNIST(train=False)[63],run_20260720_193925,3,true,t10k-images-idx3-ubyte,t10k-labels-idx1-ubyte,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-images-idx3-ubyte.gz,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-labels-idx1-ubyte.gz
56,7,64,65,8,test,28x28,50192,72,MNIST(train=False)[64],run_20260720_193925,7,true,t10k-images-idx3-ubyte,t10k-labels-idx1-ubyte,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-images-idx3-ubyte.gz,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-labels-idx1-ubyte.gz
57,4,65,66,11,test,28x28,50976,73,MNIST(train=False)[65],run_20260720_193925,4,true,t10k-images-idx3-ubyte,t10k-labels-idx1-ubyte,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-images-idx3-ubyte.gz,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-labels-idx1-ubyte.gz
58,6,66,67,6,test,28x28,51760,74,MNIST(train=False)[66],run_20260720_193925,6,true,t10k-images-idx3-ubyte,t10k-labels-idx1-ubyte,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-images-idx3-ubyte.gz,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-labels-idx1-ubyte.gz
59,4,67,68,12,test,28x28,52544,75,MNIST(train=False)[67],run_20260720_193925,4,true,t10k-images-idx3-ubyte,t10k-labels-idx1-ubyte,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-images-idx3-ubyte.gz,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-labels-idx1-ubyte.gz
60,3,68,69,7,test,28x28,53328,76,MNIST(train=False)[68],run_20260720_193925,3,true,t10k-images-idx3-ubyte,t10k-labels-idx1-ubyte,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-images-idx3-ubyte.gz,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-labels-idx1-ubyte.gz
61,0,69,70,7,test,28x28,54112,77,MNIST(train=False)[69],run_20260720_193925,0,true,t10k-images-idx3-ubyte,t10k-labels-idx1-ubyte,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-images-idx3-ubyte.gz,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-labels-idx1-ubyte.gz
62,7,70,71,9,test,28x28,54896,78,MNIST(train=False)[70],run_20260720_193925,7,true,t10k-images-idx3-ubyte,t10k-labels-idx1-ubyte,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-images-idx3-ubyte.gz,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-labels-idx1-ubyte.gz
63,0,71,72,8,test,28x28,55680,79,MNIST(train=False)[71],run_20260720_193925,0,true,t10k-images-idx3-ubyte,t10k-labels-idx1-ubyte,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-images-idx3-ubyte.gz,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-labels-idx1-ubyte.gz
64,2,72,73,6,test,28x28,56464,80,MNIST(train=False)[72],run_20260720_193925,2,true,t10k-images-idx3-ubyte,t10k-labels-idx1-ubyte,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-images-idx3-ubyte.gz,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-labels-idx1-ubyte.gz
65,1,74,75,11,test,28x28,58032,82,MNIST(train=False)[74],run_20260720_193925,1,true,t10k-images-idx3-ubyte,t10k-labels-idx1-ubyte,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-images-idx3-ubyte.gz,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-labels-idx1-ubyte.gz
66,7,75,76,10,test,28x28,58816,83,MNIST(train=False)[75],run_20260720_193925,7,true,t10k-images-idx3-ubyte,t10k-labels-idx1-ubyte,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-images-idx3-ubyte.gz,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-labels-idx1-ubyte.gz
67,3,76,77,8,test,28x28,59600,84,MNIST(train=False)[76],run_20260720_193925,3,true,t10k-images-idx3-ubyte,t10k-labels-idx1-ubyte,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-images-idx3-ubyte.gz,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-labels-idx1-ubyte.gz
68,2,77,78,7,test,28x28,60384,85,MNIST(train=False)[77],run_20260720_193925,2,true,t10k-images-idx3-ubyte,t10k-labels-idx1-ubyte,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-images-idx3-ubyte.gz,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-labels-idx1-ubyte.gz
69,7,79,80,11,test,28x28,61952,87,MNIST(train=False)[79],run_20260720_193925,7,true,t10k-images-idx3-ubyte,t10k-labels-idx1-ubyte,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-images-idx3-ubyte.gz,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-labels-idx1-ubyte.gz
70,7,80,81,12,test,28x28,62736,88,MNIST(train=False)[80],run_20260720_193925,7,true,t10k-images-idx3-ubyte,t10k-labels-idx1-ubyte,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-images-idx3-ubyte.gz,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-labels-idx1-ubyte.gz
71,6,81,82,7,test,28x28,63520,89,MNIST(train=False)[81],run_20260720_193925,6,true,t10k-images-idx3-ubyte,t10k-labels-idx1-ubyte,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-images-idx3-ubyte.gz,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-labels-idx1-ubyte.gz
72,2,82,83,8,test,28x28,64304,90,MNIST(train=False)[82],run_20260720_193925,2,true,t10k-images-idx3-ubyte,t10k-labels-idx1-ubyte,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-images-idx3-ubyte.gz,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-labels-idx1-ubyte.gz
73,7,83,84,13,test,28x28,65088,91,MNIST(train=False)[83],run_20260720_193925,7,true,t10k-images-idx3-ubyte,t10k-labels-idx1-ubyte,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-images-idx3-ubyte.gz,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-labels-idx1-ubyte.gz
74,4,85,86,13,test,28x28,66656,93,MNIST(train=False)[85],run_20260720_193925,4,true,t10k-images-idx3-ubyte,t10k-labels-idx1-ubyte,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-images-idx3-ubyte.gz,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-labels-idx1-ubyte.gz
75,7,86,87,14,test,28x28,67440,94,MNIST(train=False)[86],run_20260720_193925,7,true,t10k-images-idx3-ubyte,t10k-labels-idx1-ubyte,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-images-idx3-ubyte.gz,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-labels-idx1-ubyte.gz
76,3,87,88,9,test,28x28,68224,95,MNIST(train=False)[87],run_20260720_193925,3,true,t10k-images-idx3-ubyte,t10k-labels-idx1-ubyte,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-images-idx3-ubyte.gz,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-labels-idx1-ubyte.gz
77,6,88,89,8,test,28x28,69008,96,MNIST(train=False)[88],run_20260720_193925,1,false,t10k-images-idx3-ubyte,t10k-labels-idx1-ubyte,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-images-idx3-ubyte.gz,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-labels-idx1-ubyte.gz
78,1,89,90,12,test,28x28,69792,97,MNIST(train=False)[89],run_20260720_193925,1,true,t10k-images-idx3-ubyte,t10k-labels-idx1-ubyte,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-images-idx3-ubyte.gz,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-labels-idx1-ubyte.gz
79,3,90,91,10,test,28x28,70576,98,MNIST(train=False)[90],run_20260720_193925,3,true,t10k-images-idx3-ubyte,t10k-labels-idx1-ubyte,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-images-idx3-ubyte.gz,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-labels-idx1-ubyte.gz
80,6,91,92,9,test,28x28,71360,99,MNIST(train=False)[91],run_20260720_193925,3,false,t10k-images-idx3-ubyte,t10k-labels-idx1-ubyte,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-images-idx3-ubyte.gz,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-labels-idx1-ubyte.gz
81,3,93,94,11,test,28x28,72928,101,MNIST(train=False)[93],run_20260720_193925,3,true,t10k-images-idx3-ubyte,t10k-labels-idx1-ubyte,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-images-idx3-ubyte.gz,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-labels-idx1-ubyte.gz
82,1,94,95,13,test,28x28,73712,102,MNIST(train=False)[94],run_20260720_193925,1,true,t10k-images-idx3-ubyte,t10k-labels-idx1-ubyte,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-images-idx3-ubyte.gz,https://storage.googleapis.com/cvdf-datasets/mnist/t10k-labels-idx1-ubyte.gz
